iter,dt_ms,wall_ms,gap_ms,env_steps_s,drone_steps_s,loss,recon,coll,ctrl,u_rms,grad_rms,param_rms,update_rms
1,551.552,552.020,0.469,145.045,580.181,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
2,561.330,561.904,0.574,142.519,570.074,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
3,567.955,568.498,0.543,140.856,563.425,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
4,547.863,548.453,0.590,146.022,584.087,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
5,545.352,546.064,0.712,146.694,586.777,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
6,554.491,555.024,0.533,144.276,577.106,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
7,559.439,559.989,0.551,143.001,572.002,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
8,544.883,545.374,0.491,146.820,587.282,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
9,543.738,544.310,0.573,147.130,588.519,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
10,543.378,543.909,0.531,147.227,588.909,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
11,549.143,549.659,0.516,145.682,582.726,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
12,540.683,541.150,0.467,147.961,591.844,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
13,547.755,548.283,0.528,146.051,584.203,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
14,542.972,543.527,0.555,147.337,589.349,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
15,550.523,551.014,0.491,145.316,581.265,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
16,541.019,541.611,0.592,147.869,591.476,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
17,544.656,545.344,0.689,146.882,587.527,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
18,542.969,543.601,0.632,147.338,589.352,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
19,560.210,560.711,0.501,142.803,571.214,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
20,541.943,542.497,0.554,147.617,590.468,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
21,562.826,563.350,0.524,142.140,568.559,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
22,546.390,546.905,0.515,146.416,585.662,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
